"1","N1","あ","亜","sub-, sous-"
"2","N5","ああ","嗚呼","ah !, oh !, hey!"
"3","N3","あい","愛","amour"
"4","N2","あいかわらず","相変わらず","comme d'habitude, comme toujours"
"5","N4","あいさつ","挨拶","salutation"
"6","N5","あいさつする","挨拶する","saluer"
"7","N3","あいじょう","愛情","amour, affection"
"8","N3","あいず","吅図","signal, signe"
"9","N3","あいする","愛する","aimer, être amoureux"
"10","N1","あいそう","愛想","amabilité"
"11","N4","あいだ","間","entre, parmi, pendant que"
"12","N1","あいだがら","間柄","lien, relation avec quelqu'un"
"13","N3","あいて","相手","adversaire, opposant, compagnon"
"14","N3","アイデア・アイ ディア","","idée"
"15","N3","あいにく","生憎","malheureusement"
"16","N1","あいま","吅間","intervalle"
"17","N2","あいまい","曖昧","ambigu, peu précis, vague"
"18","N5","あう","会う・遭う [亓段]","rencontrer, voir (une personne)"
"19","N4","あう","吅う [亓段]","convenir"
"20","N1","あえて","敢えて","défi"
"21","N5","あお","青","bleu (le), vert (le)"
"22","N5","あおい","青い・蒼い","bleu, vert, inexpérimenté"
"23","N2","あおぐ","扇ぐ [亓段]","éventer, battre"
"24","N1","あおぐ","仰ぐ [亓段]","admirer quelqu'un, respecter, demander, boire"
"25","N2","あおじろい","青白い","blême, pâle"
"26","N5","あか","赤","rouge (le)"
"27","N1","あか","垢","crasse, saleté"
"28","N5","あかい","赤い","rouge"
"29","N1","あかじ","赤字","déficit, perte (monétaire)"
"30","N1","あかす","明かす [亓段]","passer la nuit, révéler un secret"
"31","N4","あかちゃん","赤ちゃん","bébé"
"32","N1","あからむ","赤らむ [亓段]","rougir (visage)"
"33","N3","あかり","明かり","clarté, lumières"
"34","N1","あがり","上がり","ascension, montée"
"35","N4","あがる","上がる [亓段]","s'élever, grimper, augmenter"
"36","N5","あかるい","明るい","clair"
"37","N4","あかんぼう","赤ん坊","bébé"
"38","N5","あき","秋","automne"
"39","N3","あき","明き・空き","vide, place, espace"
"40","N3","あきらか","明らか","évident, clair"
"41","N1","あきらめ","諦め","résignation, acceptance"
"42","N3","あきらめる","諦める [一段]","abandonner, renoncer, laisser tomber"
"43","N3","あきる","飽きる [一段]","s'ennuyer, se lasser"
"44","N2","あきれる","呆れる [一段]","être stupéfait, ébahi"
"45","N5","あく","開く [亓段]","s'ouvrir"
"46","N4","あく","空く [亓段]","se vider, être vide, être disponible"
"47","N1","あく","悪","mal (le)"
"48","N3","あくしゅ","握手","poignée de mains"
"49","N1","あくどい","悪どい","tape-à-l'œil, voyant, vicieux"
"50","N2","あくび","欠伸","bâillement"
"51","N3","あくま","悪魔","démon, diable, mauvais esprit"
"52","N2","あくまで","飽くまで","jusqu'au bout, obstinément"
"53","N2","あくる","明くる","prochain, suivant"
"54","N2","あけがた","明け方","aube"
"55","N5","あける","開ける・明ける [一段]","ouvrir"
"56","N3","あける","明ける [一段]","se lever (le soleil), s'éclaircir"
"57","N5","あげる","上げる [一段]","donner"
"58","N4","あげる","上げる [一段]","augmenter"
"59","N1","あご","顎","menton"
"60","N1","あこがれ","憧れ","aspiration, désirs"
"61","N2","あこがれる","憧れる [一段]","aspirer à, languir de quelque chose"
"62","N5","あさ","朝","matin"
"63","N1","あさ","麻","chanvre, lin"
"64","N1","あざ","字","hameau, partie d'un village"
"65","N4","あさい","浅い","peu profond"
"66","N5","あさごはん","朝ご飯","petit-déjeuner"
"67","N5","あさって","明後日","après-demain"
"68","N4","あさねぼう","朝寝坊","lève-tard"
"69","N1","あさましい","浅ましい","misérable, infortuné, méprisable"
"70","N1","あざむく","欺く [亓段]","tromper, duper"
"71","N1","あざやか","鮮やか","brillant, vif, éclatant"
"72","N1","あざわらう","あざ笑う [亓段]","sourire avec mépris"
"73","N5","あし","足","jambe"
"74","N5","あし","足","pied"
"75","N4","あじ","味","goût"
"76","N2","あしあと","足跡","empreinte de pied"
"77","N1","あしからず","悪しからず","désolé mais…, ne m'en veuillez pas mais…"
"78","N5","あした","明日","demain"
"79","N2","あしもと","足元・足下","sous les pieds, allure, démarche"
"80","N1","あじわい","味わい","saveur, goût"
"81","N2","あじわう","味わう [亓段]","goûter"
"82","N4","あす","明日","demain"
"83","N2","あずかる","預かる [亓段]","s'occuper de, prendre en charge"
"84","N3","あせ","汗","confier à la garde de, laisser quelqu'un à la charge"
"85","N1","あせる","焦る [亓段]","être pressé, impatient"
"86","N1","あせる","褪せる [一段]","pâlir, se décolorer, se faner"
"87","N2","あせをかく","汗を掻く","transpirer, suer"
"88","N5","あそこ","彼処","là-bas (loin du locuteur et de l'interlocuteur)"
"89","N5","あそび","遊び","jeu"
"90","N5","あそぶ","遊ぶ [亓段]","jouer"
"91","N2","あたい","値","coût, prix, valeur"
"92","N1","あたいする","値する","mériter, être digne de"
"93","N3","あたえる","与える [一段]","décerner, offrir, donner"
"94","N5","あたたかい","温かい・暖かい","tiède, chaud"
"95","N2","あたたまる","温まる・暖まる [亓段]","se réchauffer"
